,Week,Color,Avg_Return,Volatility
0,1,Green,0.008999244,0.022302437
1,2,Red,-0.000262226,0.007873989
2,3,Green,0.004840808,0.011336184
3,4,Red,0.00218767,0.005362595
4,5,Green,-0.003443956,0.026690891
5,6,Green,0.004528521,0.006105346
6,7,Red,-0.001349769,0.010385234
7,8,Red,-0.002893459,0.003729977
8,9,Red,-0.002761142,0.009561924
9,10,Red,-0.004684014,0.002472019
10,11,Green,0.006980931,0.015994747
11,12,Green,0.013688107,0.011478526
12,13,Green,0.002889098,0.008450709
13,14,Green,0.006786009,0.00865754
14,15,Red,0.001610864,0.014576467
15,16,Green,-0.003912034,0.014402116
16,17,Green,0.006775429,0.009180402
17,18,Red,-0.001417282,0.016311111
18,19,Red,-0.001349282,0.008548124
19,20,Red,0.001179466,0.008222308
20,21,Red,-0.010078625,0.004724153
21,22,Red,-0.001735215,0.006305305
22,23,Red,-0.015229437,0.031391072
23,24,Green,-0.00080149,0.00728585
24,25,Red,-0.003838444,0.005019338
25,26,Red,-0.006148663,0.013495215
26,27,Red,-0.022871798,0.017506844
27,28,Green,-0.003212819,0.024515764
28,29,Red,-0.002491228,0.012866631
29,30,Red,-0.013419722,0.013444984
30,31,Red,-0.002913264,0.008494046
31,32,Red,-0.010161911,0.014974475
32,33,Green,0.00965534,0.009480073
33,34,Red,0.000726411,0.024439594
34,35,Green,-0.003885306,0.026069126
35,36,Green,0.001913651,0.021165006
36,37,Red,0.002184416,0.012640581
37,38,Red,-0.003797253,0.016572117
38,39,Green,0.002528527,0.012592217
39,40,Red,0.007367483,0.028250339
40,41,Red,-0.02647314,0.060576947
41,42,Red,-0.001225231,0.022081464
42,43,Green,-0.00316105,0.010094381
43,44,Green,0.006304677,0.01060074
44,45,Red,-0.002000334,0.017199849
45,46,Green,0.016312853,0.028162334
46,47,Green,0.006104617,0.013671044
47,48,Red,0.000306004,0.011836376
48,49,Red,-0.013995389,0.018219266
49,50,Red,0.002072865,0.004519184
50,51,Green,0.010648608,0.028085351
51,52,Green,0.011719643,0.006432503
52,53,Green,0.009146868,0.008127354
53,54,Red,-0.001898449,0.020807487
54,55,Red,-0.011655293,0.017104878
55,56,Red,-0.032214906,0.04017245
56,57,Green,0.017276576,0.069189945
57,58,Green,0.023497373,0.032780807
58,59,Green,-0.000314914,0.014143457
59,60,Green,0.005473693,0.009247419
60,61,Red,-0.001781237,0.010776672
61,62,Green,0.011086177,0.018327232
62,63,Red,-0.002720608,0.023759387
63,64,Green,-0.001490236,0.015411145
64,65,Green,0.008255965,0.017700153
65,66,Green,0.049586916,0.098230909
66,67,Red,-0.001422779,0.008887147
67,68,Green,0.001559991,0.005492039
68,69,Green,0.007588355,0.018668656
69,70,Red,-0.002332693,0.007313291
70,71,Green,-0.001821213,0.010819439
71,72,Green,0.008355264,0.012539837
72,73,Green,0.005492143,0.015837957
73,74,Green,0.001207591,0.007615663
74,75,Red,-0.015032157,0.030226312
75,76,Green,0.011335436,0.010438882
76,77,Green,0.004998517,0.015665876
77,78,Red,-0.00183129,0.005294871
78,79,Green,-0.003521281,0.010265791
79,80,Red,0.007030418,0.044578719
80,81,Green,0.011633882,0.009638944
81,82,Green,0.006718694,0.035833835
82,83,Green,0.006069054,0.00885121
83,84,Red,-0.013330962,0.018433215
84,85,Green,-0.001472827,0.009886465
85,86,Green,0.006137267,0.006640784
86,87,Red,-0.006428901,0.009146268
87,88,Red,-0.006141526,0.010749872
88,89,Red,-0.007516693,0.018848336
89,90,Red,-0.006191978,0.01153397
90,91,Red,-0.000993026,0.006775177
91,92,Green,-0.003338883,0.025242785
92,93,Green,0.022174769,0.018513281
93,94,Green,0.002430177,0.008701445
94,95,Red,-0.002413048,0.014803728
95,96,Red,-0.000460094,0.013513997
96,97,Green,0.004931015,0.019116541
97,98,Red,-0.006545847,0.010668585
98,99,Red,0.0012186,0.008276798
99,100,Red,-0.032284635,0.01986735